 178-185 F8.3   mag     [8.0]   Spitzer [8.0] band magnitude
 187-194 F8.4   mas     Plx     Parallax from Gaia DR2
 196-203 F8.4   mas   e_Plx     Error of parallax 
 205-212 F8.3  mas/yr   pmRA    Proper motion in right ascension direction from Gaia DR2
 214-221 F8.3  mas/yr e_pmRA    Error of proper motion in right ascension direction
 223-230 F8.3  mas/yr   pmDE    Proper motion in declination direction from Gaia DR2
 232-239 F8.3  mas/yr e_pmDE    Error of proper motion in declination direction
 241-248 F8.2  km/s     RV      Radial velocity from Gaia DR2
 250-257 F8.2  km/s   e_RV      Error of Radial velocity
 259-266 F8.2  km/s     v_z     Velocity in z direction
 268-275 F8.2  km/s   e_v_z     Error of velocity in z direction                         
--------------------------------------------------------------------------------
  289.4247242   33.6826444   65.9377845    9.6838419   8.973010   65.021    0.084    0.096    0.016   0   14.375   13.671   13.554   13.460   13.496 9999.000 9999.000 9999.000 9999.000   0.3563   0.0447   -1.853    0.065   -5.309    0.067     0.00     0.00     0.00     0.00
  300.5755433   31.8564118   68.9200549    0.6093204  10.350730    7.814    0.084    0.401    0.077   0   10.455    9.496    9.102    8.814    8.763    8.800    8.796 9999.000 9999.000   0.0198   0.0620   -2.509    0.102   -4.901    0.100   -54.59     5.26   -10.80     3.89
  308.2896114   37.7723464   77.3666033   -1.3055822   6.582150    4.617    0.085    0.521    0.093   0   10.257    9.194    8.734    8.372    8.290 9999.000 9999.000 9999.000 9999.000   0.1590   0.0572   -3.381    0.091   -4.824    0.102     0.00     0.00     4.16     2.07
   98.8404239   44.2539457  170.9041194   15.8741536   7.936660   55.756    0.084    0.107    0.018   0   14.210   13.531   13.395   13.329   13.310 9999.000 9999.000 9999.000 9999.000   0.1552   0.0606    1.605    0.114   -2.393    0.102     0.00     0.00     0.00     0.00
  260.9677512   -9.5365046   13.9300969   14.5783713  11.471330   22.137    0.084    0.233    0.041   0   11.988   11.381   11.099   10.813   10.836 9999.000 9999.000 9999.000 9999.000   0.2137   0.0358   -3.764    0.064   -7.061    0.054     0.00     0.00     0.00     0.00
  280.8587595  -10.7409143   22.4587168   -3.1215251  17.137360   18.877    0.084    0.384    0.061   0   11.441   10.755   10.517    9.980    9.947 9999.000 9999.000 9999.000 9999.000   0.0093   0.0321    0.708    0.052   -5.370    0.050   109.62    15.84     0.00     0.00
  298.5070394   26.9338145   63.7818569   -0.4277885  15.206070    4.783    0.110    0.403    0.054   0    8.941    7.967    7.526    7.038    7.158    7.419    7.312    7.250    7.198   0.1255   0.0755   -2.864    0.101   -5.816    0.091    -2.68    11.90     0.00     0.00
  322.4078919   55.7970095   97.1979088    3.3580166  13.430590    7.858    0.084    0.485    0.084   0   10.234    9.346    8.969    8.474    8.427 9999.000 9999.000 9999.000 9999.000   0.0763   0.0521   -2.381    0.090   -2.125    0.084   -57.82     5.89     7.34     3.29
   46.4682572   56.9731349  140.4950652   -1.2423907   9.253930    7.460    0.084    0.285    0.050   0   10.143    9.338    9.015    8.828    8.765 9999.000 9999.000 9999.000 9999.000   0.1462   0.0501   -0.395    0.098    0.443    0.088   -83.30     2.86    15.80     3.19
  266.2270870  -19.3954004    8.0768640    5.0979749  17.185090   23.650    0.187    0.726    0.098   0   12.517   11.932   11.705   10.528   10.574 9999.000 9999.000 9999.000 9999.000   0.1282   0.0385   -0.397    0.066   -1.626    0.050     0.00     0.00     0.00     0.00
  292.1548866   22.2743259   56.8744929    2.2814780  21.432010    9.475    0.313    1.712    0.189   0   11.873   10.992   10.236    9.371    8.440    8.996    8.343 9999.000 9999.000   0.0139   0.0468   -2.965    0.056   -5.415    0.080     0.00     0.00     0.00     0.00
   99.1884593    3.3060424  208.3140602   -1.7531043   6.327900    5.838    0.084    0.519    0.104   0   10.713    9.792    9.377    8.953    8.874    8.887    8.792 9999.000 9999.000   0.2008   0.0922   -0.262    0.127    0.394    0.109     0.00     0.00     4.40     3.42
  103.5793539  -11.4393035  223.4592277   -4.5584235   6.405430    6.104    0.084    0.300    0.051   0   10.128    9.510    9.230    8.896    8.865 9999.000 9999.000 9999.000 9999.000   0.1453   0.0508   -0.439    0.077    0.717    0.095    74.24    10.62    -0.64     2.46
   65.0074623   17.2793949  177.7487982  -22.7076413  16.628870  109.365    0.084    0.001    0.000   0   14.244   13.763   13.687   13.728   13.639 9999.000 9999.000 9999.000 9999.000  -0.0364   0.1069    0.397    0.178   -1.383    0.127     0.00     0.00     0.00     0.00
  311.4838737   41.1685499   81.5622858   -1.1914035  10.606330    2.563    0.085    0.433    0.078   0    8.107    7.074    6.657    6.380    6.301 9999.000 9999.000 9999.000 9999.000   0.4593   0.0641   -2.699    0.110   -4.467    0.110     9.70     4.21    -1.19     1.38
  273.8306970  -16.3095545   14.3526479    0.3434070   7.181200    2.826    0.084    0.445    0.084   0    8.821    7.887    7.413    7.128    7.102    7.244    7.072    7.040    6.973   0.3060   0.1114   -2.275    0.217   -3.375    0.194    31.45     4.53     0.00     0.00
  301.0186544   39.1042183   75.2610381    4.1497464  11.922050   14.568    0.083    0.056    0.010   0   10.541   10.071    9.875    9.792    9.795 9999.000 9999.000 9999.000 9999.000   0.0099   0.0207   -2.085    0.033   -3.059    0.033     0.00     0.00     9.65     2.35
  279.7515135   -6.4918951   25.7402446   -0.2069003  11.988750    3.337    0.175    0.546    0.100   0    8.811    7.871    7.375    6.268    6.778    6.998    6.895    6.754    6.623   0.5168   0.1344   -1.129    0.199   -2.603    0.161     7.12     2.33     0.00     0.00
  124.8663887  -14.5541046  236.3693962   12.0173143   8.025600   52.551    0.084    0.132    0.022   0   14.072   13.508   13.359   13.175   13.176 9999.000 9999.000 9999.000 9999.000   0.1661   0.0777   -2.621    0.114    1.297    0.136     0.00     0.00     0.00     0.00
   92.1083700   16.4026807  193.4764493   -1.7478260   9.153290    6.402    0.084    0.377    0.065   0   10.009    9.237    8.883    8.542    8.483 9999.000 9999.000 9999.000 9999.000   0.4242   0.0813    0.120    0.127   -0.430    0.105    41.39     5.22     0.00     0.00
   98.9255255    2.1496419  209.2218959   -2.5167978   6.716830    6.358    0.084    0.239    0.041   0   10.039    9.372    9.087    8.914    8.853 9999.000 9999.000 9999.000 9999.000   0.1266   0.0386    0.063    0.063    0.208    0.058    41.64     8.37     9.98     1.93
  303.6654987   35.6540217   73.5035071    0.5109418   9.441320    3.661    0.084    0.311    0.061   0    8.650    7.827    7.476    7.208    7.215    7.242    7.252 9999.000 9999.000   0.2163   0.0386   -3.167    0.064   -5.153    0.062   -30.72     1.66     3.09     1.16
  284.7426405   -6.5127613   27.9787765   -4.6332453  14.157260   20.916    0.096    0.001    0.000   0   10.792   10.307   10.124   10.308   10.361 9999.000 9999.000 9999.000 9999.000   0.1125   0.0272   -1.002    0.049   -6.270    0.048   -41.60    14.96     0.00     0.00
  282.2042007    5.2860390   37.3425906    2.9889836  19.145690    1.674    0.517    1.927    0.246   0    9.096    7.982    7.004    5.776    4.667 9999.000 9999.000 9999.000 9999.000   0.6637   0.1557   -2.355    0.239   -2.957    0.213    -3.46    13.46     0.00     0.00
  275.7919391    1.5052489   31.0436958    6.9754317  20.983020    8.982    0.312    0.888    0.052   0   10.112    9.491    9.189    8.805    7.989 9999.000 9999.000 9999.000 9999.000   0.0429   0.0512    1.842    0.085   -1.279    0.081   -18.08     4.50     0.00     0.00
  263.1683677    7.7056314   30.9109822   20.9966160  12.202290   24.911    0.083    0.001    0.000   0   11.465   11.053   10.898   10.900   10.914 9999.000 9999.000 9999.000 9999.000   0.0419   0.0271   -2.095    0.054   -6.023    0.043     0.00     0.00     0.00     0.00
  298.0621708   28.9230027   65.2866294    0.9313082  10.888730    7.551    0.083    0.225    0.046   0    9.782    9.025    8.741    8.577    8.595    8.591    8.562    8.483    8.438   0.0255   0.0333   -2.837    0.052   -5.119    0.055   -49.05     7.30    -0.14     1.86
  125.3587284  -19.2856935  240.6737920    9.8377899   7.399370   61.403    0.084    0.056    0.009   0   14.361   13.780   13.579   13.607   13.615 9999.000 9999.000 9999.000 9999.000   0.1673   0.0499   -2.769    0.076    2.932    0.075     0.00     0.00     0.00     0.00
  318.2298967  -24.1109400   23.5749453  -41.0337967  17.329060   96.998    0.100    0.295    0.036   0   14.571   14.208   14.104   13.510   13.418 9999.000 9999.000 9999.000 9999.000   0.0838   0.0605    0.057    0.087   -1.677    0.063     0.00     0.00     0.00     0.00
   90.6288288  -21.9170700  227.9108256  -20.1889657   8.064120   68.656    0.084    0.079    0.013   0   14.572   13.854   13.760   13.775   13.686 9999.000 9999.000 9999.000 9999.000   0.2725   0.0433    4.678    0.037    1.258    0.076     0.00     0.00     0.00     0.00
  260.4391233  -15.5935648    8.3798550   11.7927864  13.576600   16.999    0.084    0.242    0.039   0   11.134   10.597   10.415   10.028    9.997 9999.000 9999.000 9999.000 9999.000   0.1081   0.0744    2.252    0.086   -4.465    0.065     3.86    12.45     0.00     0.00
  297.2515376   28.2566448   64.3505110    1.2045388  15.371380    9.240    0.083    0.134    0.020   0    9.535    8.792    8.510    8.526    8.476    8.471    8.313 9999.000 9999.000  -0.0214   0.0400   -3.270    0.061   -4.931    0.065   -45.60     7.06    20.40     2.85
  293.5157466   24.0505279   59.0348187    2.0370818   9.600330   14.236    0.083    0.263    0.049   0   11.386   10.667   10.408   10.153   10.124   10.171   10.136 9999.000 9999.000  -0.0726   0.0328   -2.022    0.045   -3.588    0.049     0.00     0.00     7.01     3.14
  314.9567275   46.5590605   87.3043423    0.3387175   6.766760    3.880    0.084    0.387    0.075   0    9.446    8.548    8.151    7.890    7.845    7.949    7.766 9999.000 9999.000   0.2493   0.0475   -3.800    0.083   -5.089    0.086   -55.71     3.17    -1.87     1.57
  284.2223532   -2.7178401   31.1327308   -2.4510361  13.527430   12.014    0.083    0.230    0.036   0   10.401    9.801    9.492    9.298    9.239    9.392    9.350    9.210    9.224   0.1166   0.0587   -2.568    0.088   -6.330    0.078    65.43     5.32     0.00     0.00
  326.3266937   54.4963855   97.9997825    0.8958774   7.228790    3.815    0.084    0.277    0.052   0    8.902    8.271    8.043    7.676    7.675    7.714    7.721 9999.000 9999.000   0.1875   0.0290   -3.648    0.055   -3.810    0.051   -38.44     0.62    -3.33     1.02
  133.7824945    3.6568663  224.6184372   29.0455127  13.176590  120.503    0.085    0.022    0.004   0   14.806   14.496   14.409   14.226   14.252 9999.000 9999.000 9999.000 9999.000   0.1677   0.0467   -0.735    0.087   -5.034    0.053     0.00     0.00     0.00     0.00
  286.6123653  -19.6098658   16.8732029  -11.9998124  13.427110   26.954    0.097    0.172    0.029   0   11.993   11.514   11.404   10.939   11.043 9999.000 9999.000 9999.000 9999.000   0.0206   0.0410   -0.956    0.061   -4.277    0.054     0.00     0.00     0.00     0.00
   13.9941359  -26.3831988  176.8589831  -88.7423879  11.871290   47.778    0.084    0.001    0.000   0   12.741   12.497   12.435   12.369   12.361 9999.000 9999.000 9999.000 9999.000   0.1616   0.0287    4.467    0.038   -0.648    0.027     0.00     0.00     0.00     0.00
  116.0921672  -28.4221189  243.9807438   -2.1699537   2.682820   34.495    0.084    0.001    0.000   0   14.112   13.947   13.938   13.743   13.808   13.789   13.756 9999.000 9999.000   0.1646   0.0277   -1.802    0.039    1.803    0.048     0.00     0.00     0.00     0.00
   45.1949233   59.3418393  138.7599747    0.5044087   2.805520    6.176    0.084    0.422    0.078   0   11.645   10.825   10.517   10.170   10.101   10.217   10.103 9999.000 9999.000   0.0604   0.0401   -1.439    0.049    0.541    0.078   -56.22     5.83     0.63     2.13
  270.4892753    7.2035964   33.8002308   14.2606380   3.317740   28.600    0.084    0.232    0.039   0   14.261   13.522   13.353   13.180   13.117 9999.000 9999.000 9999.000 9999.000   1.2290   0.1005   -2.286    0.149   -7.984    0.146     0.00     0.00     0.00     0.00
  267.3254551  -18.3552545    9.5081939    4.7396796   2.501080   19.756    0.157    0.001    0.000   0 9999.000 9999.000 9999.000   12.554   12.822 9999.000 9999.000 9999.000 9999.000   0.1599   0.0774   -2.486    0.105   -7.655    0.094     0.00     0.00     0.00     0.00
  292.9845392   18.5534269   53.9818074   -0.1854701   4.736300    4.600    0.083    0.298    0.043   0   10.057    9.252    8.873    8.699    8.672    8.860    8.814    8.709    8.715   0.1437   0.0428   -2.733    0.051   -5.709    0.058    28.77     7.27     0.00     0.00
  176.2491915  -26.5889705  284.9820591   33.9563087   2.256620   27.999    0.084    0.075    0.012   0   14.292   13.714   13.554   13.623   13.552 9999.000 9999.000 9999.000 9999.000   0.4147   0.0815  -11.130    0.127    5.631    0.070     0.00     0.00     0.00     0.00
  103.1000057    2.7070797  210.6317487    1.4479048   2.209470    4.147    0.083    0.124    0.021   0   10.220    9.799    9.588    9.508    9.459 9999.000 9999.000 9999.000 9999.000   0.1716   0.0356    0.043    0.064    0.426    0.061    64.42     3.61    13.44     1.30
   76.1702795    8.2581089  192.4360502  -19.2748239   2.318810   50.900    0.100    0.001    0.000   0   15.045   14.864   14.861   14.815   14.965 9999.000 9999.000 9999.000 9999.000   0.3803   0.0726   -0.932    0.162   -0.664    0.106     0.00     0.00     0.00     0.00
  311.8450141   50.4541115   88.9725947    4.4174533   2.553010   14.503    0.084    0.367    0.058   0   13.411   12.685   12.510   12.160   12.037 9999.000 9999.000 9999.000 9999.000   0.1274   0.0587   -1.821    0.097   -2.038    0.102     0.00     0.00     7.97     6.92
  314.3091850   46.7498279   87.1580736    0.7997517   3.572760    6.831    0.084    0.310    0.058   0   11.205   10.540   10.259   10.003    9.941    9.987    9.919 9999.000 9999.000   0.0793   0.0309   -2.414    0.057   -3.214    0.049   -75.46     8.28    -2.17     1.78
  122.5464314  -32.9936746  250.7736355    0.1812747   4.368430   41.000    0.084    0.001    0.000   0   13.762   13.611   13.466   13.448   13.477 9999.000   13.427 9999.000 9999.000   0.1941   0.0272   -2.760    0.039    3.810    0.041     0.00     0.00     0.00     0.00
  106.6305395  -20.9498801  233.3137603   -6.2215119   2.336220   34.588    0.085    0.002    0.001   0   14.356   14.125   14.085   13.942   13.999 9999.000 9999.000 9999.000 9999.000   0.1219   0.0334   -0.546    0.037    1.860    0.050     0.00     0.00     0.00     0.00
  326.9853756   44.1398538   91.6435442   -7.3037291   4.287210   17.835    0.083    0.028    0.005   0   12.214   11.896   11.748   11.671   11.668 9999.000 9999.000 9999.000 9999.000   0.0101   0.0170   -0.454    0.026   -0.595    0.026     0.00     0.00     0.00     0.00
